French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
plutôt,rather
filles,girls
bureau,office
